ID Vendedor  ID Producto  Nombre             Categoria  Descripcion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Precio  Estado    Icono                                    Banner                                     Screenshot1                             Screenshot2                             Downloads  Downloads Costa Rica  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1            1            Team Fortress 2    0          Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!                                                                                                                                                                                                                                                                                                                                                                                                        Free    Activo    ../apps/juegos/tf2/icon.gif              ../apps/juegos/tf2/icon.gif                ../apps/juegos/tf2/sc1.gif              ../apps/juegos/tf2/sc2.gif              1          0                     
1            2            8 Zip              2          Out with the old, in with the new. The powerful archiver 8 Zip has expanded its set of capabilities with the new Continuum, Cortana and Windows Hello technologies. Now one app, one license, a uniform design and functionality can be had on all types of devices. Decrypt files through an iris scan or at a touch. Listen to music, read documents, and watch videos right in the app. Share files with friends – it’s simple.                                                                                                                                               8000    Activo    ../apps/herramientas/8zip/icon.gif       ../apps/herramientas/8zip/icon.gif         ../apps/herramientas/8zip/sc1.gif       ../apps/herramientas/8zip/sc2.gif       0          0                     
1            3            Google Play Music  1          La aplicación Google Play Music te permite escuchar tu colección de música estés donde estés. Toda tu música se almacena online, por lo que no tienes que preocuparte por sincronizarla ni por el espacio que ocupa.                                                                                                                                                                                                                                                                                                                                                             3900    Activo    ../apps/musica/gmusic/icon.gif           ../apps/musica/gmusic/banner.gif           ../apps/musica/gmusic/sc1.gif           ../apps/musica/gmusic/sc2.gif           0          0                     
1            4            Slack              3          Slack combina la comunicación y colaboración en equipo en un mismo lugar, haciendo que aumente la productividad en el trabajo, tanto en grandes empresas como en pequeños negocios. Vete tachando los elementos de tu lista de tareas pendientes y haz que avancen los proyectos, juntando las personas, conversaciones, herramientas e información que necesitas. Slack se encuentra disponible en cualquier dispositivo, de forma que puedas encontrar y acceder a tu equipo y tu trabajo, tanto si estás sentado en tu escritorio como si te encuentras fuera de la oficina.  Free    Activo    ../apps/redes/slack/icon.gif             ../apps/redes/slack/banner.gif             ../apps/redes/slack/sc1.gif             ../apps/redes/slack/sc2.gif             0          0                     
2            5            Rocket League      0          Soccer meets driving once again in the long-awaited, physics-based multiplayer-focused sequel to Supersonic Acrobatic Rocket-Powered Battle-Cars! Choose a variety of high-flying vehicles equipped with huge rocket boosters to score amazing aerial goals and pull-off incredible game-changing saves!                                                                                                                                                                                                                                                                         5100    Activo    ../apps/juegos/rocket_league/icon.gif    ../apps/juegos/rocket_league/icon.gif      ../apps/juegos/rocket_league/sc1.gif    ../apps/juegos/rocket_league/sc2.gif    0          0                     
2            6            Evernote           2          Evernote is the only ORGANIZER and PLANNER notebook app you need in your life: take notes, create to-do lists, add images, scan documents with your camera, take handwritten notes, make sketches and more! Edit, share and collaborate on your notes automatically between your phone, tablet, and computer.                                                                                                                                                                                                                                                                    Free    Activo    ../apps/herramientas/evernote/icon.gif   ../apps/herramientas/evernote/banner.gif   ../apps/herramientas/evernote/sc1.gif   ../apps/herramientas/evernote/sc2.gif   0          0                     
2            7            Spotify            1          Spotify is now free on mobile and tablet. Listen to the right music, wherever you are. With Spotify, you have access to a world of music. You can listen to artists and albums, or create your own playlist of your favorite songs. Want to discover new music? Choose a ready-made playlist that suits your mood or get personalized recommendations.                                                                                                                                                                                                                           3500    Activo    ../apps/musica/spotify/icon.gif          ../apps/musica/spotify/banner.gif          ../apps/musica/spotify/sc1.gif          ../apps/musica/spotify/sc2.gif          0          0                     
2            8            Facebook           3          Keeping up with friends is faster and easier than ever. Share updates and photos, engage with friends and Pages, and stay connected to communities important to you.                                                                                                                                                                                                                                                                                                                                                                                                             Free    Activo    ../apps/redes/facebook/icon.gif          ../apps/redes/facebook/icon.gif            ../apps/redes/facebook/sc1.gif          ../apps/redes/facebook/sc2.gif          0          0                     
3            9            Amnesia            0          Amnesia: The Dark Descent, a first person survival horror. A game about immersion, discovery and living through a nightmare. An experience that will chill you to the core.                                                                                                                                                                                                                                                                                                                                                                                                      8500    Activo    ../apps/juegos/amnesia/icon.gif          ../apps/juegos/amnesia/icon.gif            ../apps/juegos/amnesia/sc1.gif          ../apps/juegos/amnesia/sc2.gif          0          0                     
3            10           Enpass             2          Enpass gives you relief from remembering too many passwords and other credentials. It secures them in one place by your master password and makes them accessible anywhere and everywhere - on your smartphones, tablets, or desktops.                                                                                                                                                                                                                                                                                                                                           Free    Activo    ../apps/herramientas/enpass/icon.gif     ../apps/herramientas/enpass/banner.gif     ../apps/herramientas/enpass/sc1.gif     ../apps/herramientas/enpass/sc2.gif     0          0                     
3            11           SoundCloud         1          SoundCloud is the world's largest music and audio streaming platform – 150 million tracks and growing. With a buzzing community of artists and musicians constantly uploading new music, SoundCloud is where you can find the next big artists alongside chart-topping albums, live sets, and mixes for every occasion.                                                                                                                                                                                                                                                          Free    Activo    ../apps/musica/soundcloud/icon.gif       ../apps/musica/soundcloud/banner.gif       ../apps/musica/soundcloud/sc1.gif       ../apps/musica/soundcloud/sc2.gif       0          0                     
