Number of quote  Quote                                                                                   Author                 
------------------------------------------------------------------------------------------------------------------------------
1                Love For All, Hatred For None.                                                          Khalifatul Masih III   
2                Change the world by being yourself.                                                     Amy Poehler            
3                Every moment is a fresh beginning.                                                      T.S Eliot              
4                Never regret anything that made you smile.                                              Mark Twain             
5                Die with memories, not dreams.                                                          Unknown                
6                Aspire to inspire before we expire.                                                     Unknown                
7                Everything you can imagine is real.                                                     Pablo Picasso          
8                Simplicity is the ultimate sophistication.                                              Leonardo da Vinci      
9                Whatever you do, do it well.                                                            Walt Disney            
10               What we think, we become.                                                               Buddha                 
11               All limitations are self-imposed.                                                       Oliver Wendell Holmes  
12               Tough times never last but tough people do.                                             Robert H. Schiuller    
13               Problems are not stop signs, they are guidelines.                                       Robert H. Schiuller    
14               One day the people that don’t even believe in you will tell everyone how they met you.  Johnny Depp            
15               If im gonna tell a real story, im gonna start with my name.                             Kendrick Lamar         
16               If you tell the truth you don’t have to remember anything.                              Mark Twain             
17               Have enough courage to start and enough heart to finish.                                Jessica N. S. Yourko   
18               Hate comes from intimidation, love comes from appreciation.                             Tyga                   
19               I could agree with you but then we’d both be wrong.                                     Harvey Specter         
20               Oh the things you can find, if you don’t stay behind.                                   Dr. Seuss              
